Kategori,İngilizce Terim,Türkçe Çeviriler
Temel Kavramlar,Advanced AI,gelişmiş yapay zekâ
Temel Kavramlar,Agent,ajan
Temel Kavramlar,Algorithm,algoritma
Temel Kavramlar,Artificial General Intelligence (AGI),genel yapay zekâ
Temel Kavramlar,Artificial Intelligence (AI),yapay zekâ
Temel Kavramlar,Artificial Superintelligence (ASI),süper yapay zekâ; üstün yapay zekâ
Temel Kavramlar,Autonomous,otonom; özerk; muhtar
Temel Kavramlar,Autonomy,otonomi; özerklik; muhtariyet
Temel Kavramlar,Bayesian Agent,Bayesyen ajan
Temel Kavramlar,Bias (in AI),önyargı; yanlılık; eğilim; meyil; sapma
Temel Kavramlar,Bias-Variance Trade-off,önyargı-varyans dengesi
Temel Kavramlar,Big Data,büyük veri
Temel Kavramlar,Capability,kabiliyet; yetenek
Temel Kavramlar,Chatbot,sohbet robotu
Temel Kavramlar,Classification,sınıflandırma; tasnif
Temel Kavramlar,Clustering,kümeleme; küme analizi
Temel Kavramlar,Collective Superintelligence,müşterek süper zekâ; toplu süper zekâ
Temel Kavramlar,Computer Vision,bilgisayarlı görme; görüntü işleme
Temel Kavramlar,Cross-Validation,çapraz doğrulama
Temel Kavramlar,Data Mining,veri madenciliği
Temel Kavramlar,Data Science,veri bilimi
Temel Kavramlar,Decision Tree,karar ağacı
Temel Kavramlar,Feature,öznitelik
Temel Kavramlar,Frontier AI Model,öncü yapay zekâ
Temel Kavramlar,Generalization,genelleme
Temel Kavramlar,Goal-seeking Behavior,hedef odaklı davranış
Temel Kavramlar,Good Old-Fashioned Artificial Intelligence (GOFAI),eski usul yapay zekâ
Temel Kavramlar,Gradient Descent,gradyan inişi
Temel Kavramlar,Inference (Machine Learning),çıkarım; çıkarsama
Temel Kavramlar,Intelligence Explosion,zekâ patlaması
Temel Kavramlar,Knowledge Representation,bilgi temsili
Temel Kavramlar,Label,etiket
Temel Kavramlar,Machine Learning,makine öğrenmesi
Temel Kavramlar,Model (ML Model),model
Temel Kavramlar,Narrow AI,dar yapay zekâ
Temel Kavramlar,Natural Language Processing (NLP),doğal dil işleme
Temel Kavramlar,Neural Network,sinir ağı
Temel Kavramlar,Overfitting,aşırı uyum
Temel Kavramlar,Privacy (Data Privacy),veri mahremiyeti
Temel Kavramlar,Quality Superintelligence,nitelik süper zekâsı
Temel Kavramlar,Random Forest,Random Forest
Temel Kavramlar,Recursive Self-Improvement,özyinelemeli öz geliştirme
Temel Kavramlar,Regression,regresyon (analizi); bağıntı çözümlemesi
Temel Kavramlar,Reinforcement Learning,pekiştirmeli öğrenme
Temel Kavramlar,Robotics,robotik
Temel Kavramlar,Seed AI,tohum yapay zekâ
Temel Kavramlar,Self-improving,kendi kendini geliştirmek
Temel Kavramlar,Semi-Supervised Learning,yarı denetimli öğrenme; kısmen denetimli öğrenme
Temel Kavramlar,Speed Superintelligence,hız süper zekâsı
Temel Kavramlar,Supervised Learning,denetimli öğrenme; gözetimli öğrenme
Temel Kavramlar,Support Vector Machine (SVM),destek vektör makinesi
Temel Kavramlar,Test Data,test verisi; sınama verisi
Temel Kavramlar,Training Data,eğitim verisi
Temel Kavramlar,Transfer Learning,aktarımlı öğrenme
Temel Kavramlar,Turing Test,Turing testi
Temel Kavramlar,Underfitting,yetersiz uyum; eksik öğrenme
Temel Kavramlar,Unsupervised Learning,denetimsiz öğrenme; gözetimsiz öğrenme
Temel Kavramlar,Validation Data,doğrulama verisi
Derin Öğrenme,Activation Function,aktivasyon fonksiyonu; etkinleştirme fonksiyonu
Derin Öğrenme,Adam Optimizer,ADAM optimizatörü; ADAM eniyileştiricisi
Derin Öğrenme,Adversarial Training,çatışmacı eğitim; çatışmalı eğitim
Derin Öğrenme,Attention Mechanism,dikkat mekanizması
Derin Öğrenme,Autoencoder,otomatik kodlayıcı; otomatik enkoder
Derin Öğrenme,Backpropagation,geri yayılım
Derin Öğrenme,Batch Normalization,yığın normalleştirme
Derin Öğrenme,Batch Size,yığın büyüklüğü; toplu işlem boyutu
Derin Öğrenme,Bias (Neural Network),eğilim
